,unix,open,high,low,close,volume,MA_20,EMA_20,RSI,macd,macdsignal,macdhist
0,1575417600000,147.19,147.28,143.5,144.52,35630.14907,,,,,,
1,1575421200000,144.5,145.03,143.15,144.69,14097.83479,,,,,,
2,1575424800000,144.68,145.16,144.13,144.5,10309.01733,,,,,,
3,1575428400000,144.51,145.0,144.49,144.64,6350.65566,,,,,,
4,1575432000000,144.64,144.79,144.17,144.5,4925.33647,,,,,,
5,1575435600000,144.49,144.51,143.6,143.6,8492.75591,,,,,,
6,1575439200000,143.61,144.62,143.31,144.09,7611.36399,,,,,,
7,1575442800000,144.1,144.5,144.01,144.11,6930.15134,,,,,,
8,1575446400000,144.12,145.84,143.28,145.3,21939.85792,,,,,,
9,1575450000000,145.3,145.77,145.2,145.38,14383.80766,,,,,,
10,1575453600000,145.4,146.2,145.13,145.9,15961.41494,,,,,,
11,1575457200000,145.91,146.46,145.2,145.55,15086.79719,,,,,,
12,1575460800000,145.53,146.0,145.53,145.89,10241.50404,,,,,,
13,1575464400000,145.91,151.98,145.62,149.95,74234.4485,,,,,,
14,1575468000000,149.96,150.65,148.66,149.1,31411.35354,,,74.25847457627125,,,
15,1575471600000,149.1,149.62,148.84,149.11,16859.1883,,,74.2878072602964,,,
16,1575475200000,149.12,149.71,149.0,149.35,11810.15844,,,75.02341535804217,,,
17,1575478800000,149.34,149.72,149.22,149.35,7131.25144,,,75.02341535804217,,,
18,1575482400000,149.35,149.62,149.1,149.44,4742.14286,,,75.33036752273898,,,
19,1575486000000,149.45,149.8,149.43,149.68,5261.54057,146.4325,147.5844391122023,76.17135665101529,,,
20,1575489600000,149.68,150.01,144.7,145.94,52048.34628,146.5035,147.40601493609842,48.451946891216416,,,
21,1575493200000,145.94,147.23,144.35,145.15,39987.63191,146.5265,147.1644379838385,44.74767437556819,,,
22,1575496800000,145.13,146.08,144.72,145.43,8905.77976,146.573,146.98088599474062,46.31430250483278,,,
23,1575500400000,145.42,146.25,145.2,145.38,10078.13588,146.61,146.81324285070264,46.06313381803692,,,
24,1575504000000,145.45,145.71,144.99,145.61,11224.01542,146.6655,146.6884238839076,47.47425750608044,,,
25,1575507600000,145.6,146.03,145.5,145.66,7805.41548,146.76850000000002,146.5826387417636,47.794019234924754,,,
26,1575511200000,145.69,145.7,144.27,144.4,11752.13201,146.78400000000002,146.35982797818545,41.01747296802486,,,
27,1575514800000,144.4,145.0,143.64,144.96,17176.02081,146.82649999999998,146.21790055734974,44.76586152551415,,,
28,1575518400000,144.99,146.5,143.88,144.73,25065.18752,146.798,146.0679657918249,43.54194021240303,,,
29,1575522000000,144.73,146.32,144.38,145.76,20218.3545,146.817,146.03710299038914,50.11905331158768,,,
30,1575525600000,145.76,146.18,145.24,145.84,8078.70152,146.81400000000002,146.01744812904423,50.60041344682005,,,
31,1575529200000,145.84,145.86,145.12,145.65,8034.66251,146.819,145.98097011049455,49.38156809026509,,,
32,1575532800000,145.66,145.98,145.31,145.73,28937.92049,146.81099999999998,145.95615546989737,49.928466304418855,,,
33,1575536400000,145.75,146.85,145.72,145.8,18296.24488,146.6035,145.94077156392223,50.43310697822313,0.1572495412216312,0.4953438912750825,-0.3380943500534512
34,1575540000000,145.79,146.98,145.76,146.79,9538.03631,146.488,146.02416126857034,57.02919819439071,0.2071516185442306,0.4377054367289121,-0.2305538181846815
35,1575543600000,146.78,147.03,146.33,146.51,7130.34553,146.358,146.07172740891033,54.80770939644661,0.2215518031297847,0.3944747100090866,-0.1729229068793019
36,1575547200000,146.51,149.02,146.51,148.17,27266.21584,146.299,146.27661276435154,63.808624930318246,0.3627308445785218,0.3881259369229736,-0.0253950923444518
37,1575550800000,148.14,148.76,147.32,147.57,13347.64203,146.20999999999998,146.40260205431002,59.217685071682105,0.4213442719862144,0.3947696039356217,0.0265746680505926
38,1575554400000,147.61,147.87,147.15,147.83,10222.91153,146.1295,146.54134399165218,60.54250988951271,0.4832055695621875,0.4124567970609349,0.0707487725012526
39,1575558000000,147.83,147.9,146.56,147.03,13951.69711,145.997,146.58874800018407,54.65883980437687,0.4623481181523345,0.4224350612792148,0.0399130568731197
40,1575561600000,147.02,147.43,146.3,146.89,15481.64312,146.0445,146.61792048139762,53.67575988617222,0.4295697944762082,0.4238620079186135,0.0057077865575947
41,1575565200000,146.9,147.55,146.38,147.34,8527.37629,146.154,146.68773317784454,56.39079674117751,0.4348908252772503,0.4260677713903408,0.0088230538869094
42,1575568800000,147.34,147.97,146.79,146.92,6176.20493,146.2285,146.71015699653836,53.25362659208261,0.4005994297478139,0.4209741030618354,-0.0203746733140215
43,1575572400000,146.91,147.8,146.91,147.6,5625.23619,146.3395,146.7959534403508,57.38710079628668,0.4234127303473087,0.4214618285189301,0.0019509018283786
44,1575576000000,147.6,148.6,147.6,147.93,10797.60114,146.4555,146.90516657496508,59.26935512475532,0.4627859689326783,0.4297266566016797,0.0330593123309985
45,1575579600000,147.93,148.12,147.37,147.84,3261.62424,146.5645,146.995098850363,58.510283638158064,0.4811805465259908,0.4400174345865419,0.0411631119394488
46,1575583200000,147.84,148.2,147.5,147.8,5355.13255,146.7345,147.0724569415089,58.153805597822405,0.4869178304349759,0.4493975137562288,0.0375203166787471
47,1575586800000,147.81,148.48,147.48,148.1,5803.21777,146.8915,147.17112696804315,60.11644445509551,0.5097955562276582,0.4614771222505146,0.0483184339771435
48,1575590400000,148.11,148.37,146.91,147.43,8193.62951,147.0265,147.19596575172096,54.02251459186704,0.4684627709515325,0.4628742519907182,0.0055885189608143
49,1575594000000,147.44,148.25,147.26,147.83,5365.67047,147.13,147.2567578742134,56.83570232965173,0.4626497594565251,0.4628293534838795,-0.0001795940273544
50,1575597600000,147.78,148.35,147.46,147.69,5313.11586,147.2225,147.2982710493763,55.55447764702729,0.4416549526219171,0.458594473311487,-0.0169395206895699
51,1575601200000,147.69,147.96,147.14,147.26,8574.91646,147.303,147.29460605691753,51.69955247241384,0.3858709307130823,0.4440497647918061,-0.0581788340787238
52,1575604800000,147.28,147.74,147.07,147.6,5360.99588,147.3965,147.3238364566768,54.39425941685073,0.3648906180413291,0.4282179354417107,-0.0633273174003815
53,1575608400000,147.6,147.89,147.38,147.48,5271.26287,147.4805,147.33877634890143,53.26475652949886,0.3347221039191197,0.4095187691371925,-0.0747966652180728
54,1575612000000,147.47,147.59,147.01,147.47,5011.80411,147.5145,147.35132488763105,53.16568038663264,0.3064735859724408,0.3889097325042422,-0.0824361465318014
55,1575615600000,147.47,147.84,147.29,147.73,6523.08295,147.57549999999998,147.38752241343568,55.48415222214549,0.3015897205045235,0.3714457301042985,-0.069856009599775
56,1575619200000,147.76,147.87,147.15,147.43,9585.17787,147.5385,147.3915814146938,52.26891037333837,0.2703947863572864,0.3512355413548961,-0.0808407549976096
57,1575622800000,147.43,147.46,145.74,147.19,23575.5953,147.5195,147.37232516690025,49.78346358197283,0.2237275896737287,0.3257339510186626,-0.1020063613449339
58,1575626400000,147.19,147.4,146.31,146.42,11265.96878,147.449,147.28137961540273,42.758450337579234,0.1231908676034549,0.2852253343356211,-0.1620344667321661
59,1575630000000,146.42,146.84,146.11,146.49,9482.48991,147.42199999999997,147.20582377951277,43.538472000625184,0.0486029415643258,0.237900855781362,-0.1892979142170362
60,1575633600000,146.43,146.91,146.34,146.62,5920.43175,147.4085,147.14990625987184,45.0364319275536,-1.840153259990984e-05,0.1903170043185696,-0.1903354058511696
61,1575637200000,146.61,146.86,146.14,146.3,6258.31602,147.35649999999998,147.06879905462253,42.077157308934254,-0.0636389022320997,0.1395258230084358,-0.2031647252405355
62,1575640800000,146.3,146.96,146.23,146.61,7647.19282,147.341,147.02502394366115,45.793126075633154,-0.0880294494783697,0.0940147685110746,-0.1820442179894444
63,1575644400000,146.62,147.73,146.51,147.21,16488.15248,147.3215,147.04266987446687,52.18671889833863,-0.0582724201188398,0.0635573307850917,-0.1218297509039316
